numero_compte,code_client,type_compte,produit_bancaire,statut_compte,date_ouverture,devise,solde_initial
237-01-391529339,CUST-0003930,Professionnel,Compte professionnel,Actif,2024-10-19,FCFA,1343050
237-01-512903227,CUST-0005816,Épargne,Épargne projet,Actif,2018/08/01,XAF,3518386
237-01-751371425,CUST-0000760,Professionnel,Compte professionnel,Actif,2018-10-21,XAF,3070440
237-01-712837861,CUST-0002260,Commerçant,Compte commerçant,Actif,2022-01-15,XAF,3780571
237-01-282412739,CUST-0000779,Épargne,Épargne classique,Actif,2017-12-18,FCFA,3718752
237-01-546697894,CUST-0005465,Professionnel,Crédit commercial,Actif,18/01/2024,XAF,1704973
237-01-907260081,CUST-0004509,Professionnel,Crédit commercial,Actif,2025/02/26,XAF,1975627
237-01-914892087,CUST-0005135,Association,Compte association,Actif,2022/03/24,XAF,4066216
237-01-521656379,CUST-0004313,Professionnel,Crédit scolaire,Actif,2017-04-10,XAF,3538970
237-01-330294635,CUST-0003356,Épargne,Épargne classique,Actif,2018-11-07,XAF,481197
237-01-304953006,CUST-0004213,Commerçant,Compte commerçant,Actif,2019-08-29,XAF,1815808
237-01-541067603,CUST-0000449,Association,Compte association,Actif,2025-10-22,XAF,3726006
237-01-939276996,CUST-0003286,Épargne,Épargne projet,Actif,2022-03-30,FCFA,492672
237-01-254451999,CUST-0003864,Tontine,Compte tontine,Actif,2022-09-24,XAF,2409602
237-01-753616887,CUST-0006121,Courant,Compte salaire,Actif,2025/05/03,FCFA,95418
237-01-205653807,CUST-0001091,Tontine,Compte tontine,Actif,2022-07-08,FCFA,533897
237-01-958079494,CUST-0003749,Professionnel,Crédit scolaire,Actif,04/05/2018,FCFA,3761657
237-01-910999608,CUST-0001137,Professionnel,Crédit commercial,Actif,2018-11-23,FCFA,1989014
237-01-599222784,CUST-0005565,Épargne,Épargne jeune,Actif,2024-03-21,XAF,2145771
237-01-956298527,CUST-0001496,Professionnel,Crédit scolaire,Actif,2023-03-29,XAF,1002643
237-01-314708949,CUST-0005051,Courant,Compte salaire,Actif,2020-09-30,FCFA,3793307
237-01-767158523,CUST-0000333,Commerçant,Compte commerçant,Actif,2019-09-27,FCFA,1024472
237-01-776443219,CUST-0001737,Association,Compte association,Actif,2018-12-23,XAF,2932352
237-01-356836225,CUST-0006096,Épargne,Épargne classique,Actif,2017-12-21,XAF,2637675
237-01-665728539,CUST-0001476,Professionnel,Crédit scolaire,Dormant,2022-01-26,FCFA,4686184
237-01-362211601,CUST-0000952,Épargne,Épargne classique,Actif,2024-02-11,FCFA,593080
237-01-720588212,CUST-0005925,Épargne,Épargne projet,Bloqué,2017/07/08,XAF,1115630
237-01-456387932,CUST-0004684,Tontine,Compte tontine,Bloqué,2025-06-20,XAF,2974726
237-01-503836891,CUST-0001435,Tontine,Compte tontine,Clôturé,2021-09-29,FCFA,2625489
237-01-180388948,CUST-0000244,Commerçant,Compte commerçant,Bloqué,2021-06-02,FCFA,2551052
237-01-617747270,CUST-0002686,Épargne,Épargne projet,Actif,2023-02-08,FCFA,1175914
237-01-942885501,CUST-0005805,Épargne,Épargne classique,Actif,2024-06-18,XAF,878745
237-01-843311276,CUST-0006138,Courant,Compte courant,Actif,17/12/2019,XAF,2640233
237-01-709109538,CUST-0002671,Épargne,Épargne jeune,Actif,01/06/2026,XAF,3244596
237-01-240688161,CUST-0001728,Association,Compte association,Actif,10/09/2023,XAF,4814193
237-01-124134620,CUST-0003658,Professionnel,Compte professionnel,Actif,2017-06-10,FCFA,728823
237-01-169207518,CUST-0001716,Commerçant,Compte commerçant,Actif,2017-01-04,FCFA,683829
237-01-187529781,CUST-0003522,Épargne,Épargne projet,Actif,2021-08-19,XAF,1836720
237-01-184720601,CUST-0000459,Tontine,Compte tontine,Actif,2017-01-17,FCFA,3834880
237-01-859562363,CUST-0004108,Épargne,Épargne projet,Actif,2020-10-03,XAF,2441981
237-01-529600792,CUST-0001534,Courant,Compte salaire,Actif,2020-11-27,XAF,138897
237-01-383366629,CUST-0004802,Courant,Compte courant,Actif,2017-11-13,XAF,2338905
237-01-915315852,CUST-0005843,Épargne,Épargne classique,Actif,2021-08-14,FCFA,3641724
237-01-206266486,CUST-0005833,Commerçant,Compte commerçant,Dormant,22/09/2019,FCFA,4813335
237-01-371831508,CUST-0000320,Épargne,Épargne jeune,Actif,2020-03-26,FCFA,4549155
237-01-189990203,CUST-0001208,Tontine,Compte tontine,Bloqué,2020-08-27,XAF,3336301
237-01-109463984,CUST-0005412,Courant,Compte courant,Actif,2020-09-20,XAF,2674213
237-01-178449186,CUST-0003684,Épargne,Épargne classique,Actif,2026/02/12,XAF,1695009
237-01-380412115,CUST-0005674,Professionnel,Crédit commercial,Actif,2017-06-28,XAF,2577410
237-01-989173588,CUST-0004297,Professionnel,Compte professionnel,Actif,2017-07-24,XAF,4197379
237-01-388818768,CUST-0002009,Courant,Compte salaire,Actif,2018-05-15,XAF,2428603
237-01-416208885,CUST-0001527,Professionnel,Crédit scolaire,Actif,04/06/2022,XAF,2119698
237-01-540541797,CUST-0004634,Épargne,Épargne classique,Actif,2026-02-12,XAF,4906758
237-01-650557102,CUST-0002118,Commerçant,Compte commerçant,Actif,2018-09-16,XAF,4480810
237-01-254772761,CUST-0002808,Commerçant,Compte commerçant,Actif,2021-02-01,FCFA,3191706
237-01-259038974,CUST-0005513,Épargne,Épargne projet,Actif,2019-05-07,XAF,2904145
237-01-659155803,CUST-0005564,Professionnel,Crédit scolaire,Dormant,2022-02-10,XAF,424837
237-01-275905323,CUST-0000007,Épargne,Épargne projet,Actif,2019-04-22,XAF,4134414
237-01-952830271,CUST-0003564,Professionnel,Crédit scolaire,Actif,2024-12-12,XAF,563705
237-01-168480692,CUST-0005849,Épargne,Épargne projet,Actif,2021-05-21,XAF,2358186
237-01-432071147,CUST-0003243,Courant,Compte courant,Actif,15/11/2023,FCFA,46355
237-01-990023122,CUST-0005462,Professionnel,Crédit scolaire,Actif,2020/03/19,XAF,3012407
237-01-412171870,CUST-0001380,Association,Compte association,Clôturé,2021/09/11,FCFA,762920
237-01-958736565,CUST-0001854,Épargne,Épargne classique,Actif,2025-06-04,FCFA,3389473
237-01-357024091,CUST-0001095,Épargne,Épargne projet,Actif,2019-07-09,FCFA,1145227
237-01-807528508,CUST-0002556,Épargne,Épargne projet,Actif,2024-03-13,FCFA,3819073
237-01-389435271,CUST-0002530,Épargne,Épargne projet,Actif,2023-05-15,FCFA,4005508
237-01-159041314,CUST-0004967,Commerçant,Compte commerçant,Actif,2023-02-14,FCFA,3581383
237-01-632825041,CUST-0001992,Commerçant,Compte commerçant,Actif,2020-01-31,FCFA,3123398
237-01-595922733,CUST-0004434,Tontine,Compte tontine,Actif,2017-06-09,FCFA,3191577
237-01-286327299,CUST-0002933,Courant,Compte salaire,Actif,2024-01-10,FCFA,2386894
237-01-958223960,CUST-0002416,Professionnel,Crédit commercial,Actif,2019-10-05,XAF,4337746
237-01-113899960,CUST-0003931,Courant,Compte courant,Actif,2026-04-03,XAF,4034901
237-01-561498257,CUST-0002552,Tontine,Compte tontine,Actif,2022/03/27,XAF,169661
237-01-527215689,CUST-0002639,Tontine,Compte tontine,Actif,2017-01-12,XAF,934563
237-01-502706899,CUST-0003388,Professionnel,Crédit commercial,Actif,2026/04/12,XAF,2236994
237-01-778796191,CUST-0001888,Courant,Compte courant,Actif,2023-08-28,FCFA,2126056
237-01-580176398,CUST-0003382,Association,Compte association,Actif,2021-07-23,XAF,2345060
237-01-210231337,CUST-0003150,Professionnel,Compte professionnel,Bloqué,14/03/2026,XAF,4405286
237-01-240885481,CUST-0001814,Épargne,Épargne classique,Dormant,2022-02-16,FCFA,477244
237-01-719638375,CUST-0001310,Commerçant,Compte commerçant,Actif,2023-08-07,FCFA,2078992
237-01-735375258,CUST-0004924,Commerçant,Compte commerçant,Dormant,2023-06-29,FCFA,3789043
237-01-128086864,CUST-0002069,Tontine,Compte tontine,Actif,2025-09-09,XAF,4170707
237-01-125175194,CUST-0002202,Association,Compte association,Actif,2025-05-12,FCFA,3343882
237-01-678114542,CUST-0004062,Épargne,Épargne jeune,Bloqué,2022-08-12,FCFA,402877
237-01-739972381,CUST-0000345,Commerçant,Compte commerçant,Bloqué,2019/08/08,XAF,4791799
237-01-782111059,CUST-0002379,Courant,Compte salaire,Actif,2022-06-10,FCFA,3063907
237-01-202953076,CUST-0000761,Commerçant,Compte commerçant,Actif,2020-06-06,FCFA,811391
237-01-801645727,CUST-0005574,Tontine,Compte tontine,Actif,2018-08-07,XAF,630916
237-01-948910685,CUST-0000733,Professionnel,Crédit scolaire,Actif,01/03/2018,FCFA,4005163
237-01-156406531,CUST-0000421,Association,Compte association,Actif,2019-07-07,FCFA,598357
237-01-648590707,CUST-0004007,Tontine,Compte tontine,Actif,2019-12-14,XAF,2746475
237-01-227186692,CUST-0002944,Épargne,Épargne jeune,Dormant,2017-05-08,FCFA,83263
237-01-388854769,CUST-0005096,Épargne,Épargne jeune,Actif,12/04/2021,FCFA,4624322
237-01-998308518,CUST-0003918,Courant,Compte courant,Actif,2017-04-29,FCFA,809006
237-01-873049163,CUST-0002223,Association,Compte association,Actif,2021-11-03,XAF,1935814
237-01-835842171,CUST-0005674,Professionnel,Crédit commercial,Actif,2023-01-04,XAF,978102
237-01-525131789,CUST-0003912,Professionnel,Crédit commercial,Actif,02/04/2025,FCFA,3584995
237-01-828177226,CUST-0004285,Épargne,Épargne projet,Actif,2026/03/04,XAF,4973503
237-01-393909743,CUST-0002107,Courant,Compte salaire,Actif,2017-01-15,FCFA,126028
237-01-430880885,CUST-0002376,Épargne,Épargne jeune,Actif,2021-08-05,XAF,3072401
237-01-879269692,CUST-0004398,Courant,Compte salaire,Bloqué,2017-09-28,XAF,2327458
237-01-277074109,CUST-0005267,Professionnel,Crédit scolaire,Actif,2020/03/12,XAF,2498580
237-01-277699852,CUST-0001011,Épargne,Épargne jeune,Actif,2018-04-12,FCFA,2575406
237-01-740476905,CUST-0002132,Professionnel,Crédit commercial,Actif,2022-07-31,FCFA,3084788
237-01-179062119,CUST-0002890,Tontine,Compte tontine,Actif,2017-04-16,XAF,3533126
237-01-483640531,CUST-0000204,Professionnel,Crédit commercial,Actif,2020-03-10,FCFA,3756781
237-01-825764198,CUST-0001359,Épargne,Épargne jeune,Actif,2017-06-05,XAF,2096799
237-01-890735381,CUST-0002580,Épargne,Épargne jeune,Actif,2018-11-12,FCFA,2427935
237-01-188022461,CUST-0005237,Professionnel,Compte professionnel,Actif,2020-07-12,XAF,3000657
237-01-192721914,CUST-0001427,Association,Compte association,Actif,07/07/2019,FCFA,1631632
237-01-214561398,CUST-0003343,Tontine,Compte tontine,Actif,2021-07-01,FCFA,4737696
237-01-982673167,CUST-0005160,Courant,Compte courant,Actif,2021-06-25,FCFA,953302
237-01-335160387,CUST-0002495,Professionnel,Crédit commercial,Actif,2019-08-22,XAF,520490
237-01-275465633,CUST-0000470,Professionnel,Compte professionnel,Actif,2018-08-03,XAF,2439275
237-01-777919582,CUST-0001770,Professionnel,Compte professionnel,Actif,2018-10-29,XAF,4236758
237-01-337464369,CUST-0002415,Épargne,Épargne projet,Actif,2023-07-16,FCFA,143506
237-01-992483596,CUST-0005491,Association,Compte association,Actif,2022-09-16,XAF,1267430
237-01-856116598,CUST-0002308,Courant,Compte courant,Actif,2020-01-27,XAF,1884739
237-01-901160252,CUST-0006107,Épargne,Épargne jeune,Actif,2019-09-19,FCFA,123181
237-01-814134721,CUST-0001849,Professionnel,Crédit commercial,Actif,2026-04-15,FCFA,3492047
237-01-857331751,CUST-0004878,Professionnel,Crédit scolaire,Actif,2017-01-28,FCFA,3748411
237-01-954079587,CUST-0000698,Professionnel,Compte professionnel,Actif,2019-02-22,XAF,2848832
237-01-146686474,CUST-0002551,Épargne,Épargne projet,Actif,2022-07-22,XAF,1924624
237-01-395795932,CUST-0002774,Professionnel,Crédit commercial,Actif,25/02/2018,FCFA,2491836
237-01-480169843,CUST-0002414,Épargne,Épargne classique,Actif,2019-06-09,FCFA,1106295
237-01-659091574,CUST-0002785,Commerçant,Compte commerçant,Actif,2019-09-20,XAF,1388778
237-01-821609939,CUST-0001700,Épargne,Épargne projet,Actif,2021-09-16,XAF,876634
237-01-316022358,CUST-0003593,Professionnel,Crédit commercial,Actif,2025-09-08,FCFA,3978232
237-01-476497648,CUST-0000464,Épargne,Épargne jeune,Actif,2023-07-16,FCFA,1395433
237-01-327048394,CUST-0000149,Épargne,Épargne jeune,Actif,2017-02-13,XAF,1914856
237-01-929088556,CUST-0001330,Professionnel,Compte professionnel,Actif,2017/05/09,FCFA,3965776
237-01-197786407,CUST-0000833,Tontine,Compte tontine,Actif,2022-02-09,XAF,1288379
237-01-262198601,CUST-0004833,Association,Compte association,Actif,2024-03-14,FCFA,2369928
237-01-312674117,CUST-0003427,Professionnel,Crédit scolaire,Actif,2020-03-15,FCFA,51419
237-01-274137419,CUST-0003463,Association,Compte association,Actif,2020-11-03,FCFA,2988737
237-01-156297565,CUST-0001480,Épargne,Épargne projet,Actif,2025-05-01,FCFA,4166303
237-01-289995491,CUST-0003953,Courant,Compte salaire,Actif,2018-07-24,XAF,2122353
237-01-571283755,CUST-0004619,Épargne,Épargne classique,Actif,2022-11-25,FCFA,3561939
237-01-266381456,CUST-0003923,Tontine,Compte tontine,Actif,31/07/2024,XAF,2560307
237-01-426664825,CUST-0005424,Professionnel,Crédit commercial,Actif,2024-12-19,FCFA,2034798
237-01-961756757,CUST-0001822,Courant,Compte courant,Actif,2025-05-27,XAF,1960953
237-01-306290568,CUST-0005508,Épargne,Épargne classique,Actif,26/09/2017,XAF,4568640
237-01-806871709,CUST-0005120,Professionnel,Compte professionnel,Actif,2023-07-25,FCFA,3423762
237-01-204111251,CUST-0001596,Épargne,Épargne classique,Actif,24/12/2017,FCFA,2704769
237-01-621377165,CUST-0000046,Professionnel,Compte professionnel,Actif,2024-12-07,FCFA,4893654
237-01-366429144,CUST-0002899,Courant,Compte courant,Actif,2025/12/20,FCFA,1586433
237-01-360024651,CUST-0004715,Association,Compte association,Actif,2023-06-25,FCFA,3978362
237-01-757540402,CUST-0003825,Association,Compte association,Actif,2021-05-05,FCFA,2563245
237-01-268655364,CUST-0004446,Professionnel,Crédit scolaire,Actif,2023-10-20,FCFA,2982316
237-01-709403481,CUST-0004987,Tontine,Compte tontine,Actif,2024-06-04,XAF,784419
237-01-179895989,CUST-0001288,Tontine,Compte tontine,Actif,2018-10-02,XAF,3720929
237-01-397304346,CUST-0001343,Épargne,Épargne projet,Bloqué,2022-11-19,XAF,2098497
237-01-773020517,CUST-0006155,Courant,Compte salaire,Actif,2019-02-26,FCFA,4473144
237-01-745338191,CUST-0005006,Courant,Compte courant,Bloqué,2019-08-10,FCFA,4787799
237-01-743438452,CUST-0005821,Professionnel,Compte professionnel,Actif,2023-12-31,FCFA,523451
237-01-639738324,CUST-0000339,Épargne,Épargne projet,Actif,2025-08-23,FCFA,1254562
237-01-566142756,CUST-0001006,Professionnel,Compte professionnel,Actif,2020-01-10,FCFA,4291885
237-01-457697061,CUST-0005723,Courant,Compte salaire,Actif,2024-04-22,XAF,468939
237-01-836734332,CUST-0003661,Tontine,Compte tontine,Actif,2022-04-13,XAF,3015072
237-01-454166174,CUST-0003469,Épargne,Épargne projet,Actif,2019-02-20,XAF,4459092
237-01-769446819,CUST-0004240,Professionnel,Crédit scolaire,Actif,2017-01-31,FCFA,4444079
237-01-545426397,CUST-0000244,Épargne,Épargne classique,Actif,2023-04-09,FCFA,551412
237-01-166853034,CUST-0001653,Commerçant,Compte commerçant,Actif,2024-08-05,XAF,1744652
237-01-668687370,CUST-0003489,Professionnel,Crédit commercial,Actif,2019-09-03,FCFA,694167
237-01-559529400,CUST-0004070,Épargne,Épargne classique,Actif,2023-04-02,FCFA,4506875
237-01-978896970,CUST-0001784,Commerçant,Compte commerçant,Actif,2025-03-04,XAF,43677
237-01-586157068,CUST-0001046,Épargne,Épargne projet,Actif,2023-02-06,XAF,2836631
237-01-934551645,CUST-0006105,Professionnel,Crédit scolaire,Actif,2025-08-23,FCFA,1553428
237-01-447925813,CUST-0000423,Épargne,Épargne projet,Actif,2024-10-12,FCFA,4154662
237-01-548122110,CUST-0003897,Commerçant,Compte commerçant,Actif,2023-11-11,FCFA,1170333
237-01-446659733,CUST-0004089,Professionnel,Compte professionnel,Actif,2026-03-15,XAF,634150
237-01-251072819,CUST-0001412,Tontine,Compte tontine,Actif,2026-03-24,FCFA,1193364
237-01-865441997,CUST-0004276,Professionnel,Crédit commercial,Actif,2024-10-14,FCFA,2304749
237-01-493021238,CUST-0004530,Courant,Compte salaire,Actif,10/05/2019,XAF,2177228
237-01-702747436,CUST-0004837,Professionnel,Crédit commercial,Actif,2022-07-19,FCFA,3923192
237-01-336367365,CUST-0002867,Association,Compte association,Actif,2024/06/03,FCFA,1709399
237-01-763837100,CUST-0003887,Tontine,Compte tontine,Actif,2026-05-18,XAF,1058476
237-01-994134290,CUST-0000281,Professionnel,Compte professionnel,Actif,2018-02-08,XAF,2747280
237-01-710339093,CUST-0002040,Professionnel,Crédit commercial,Actif,2020-10-17,XAF,3567200
237-01-401469217,CUST-0001297,Commerçant,Compte commerçant,Actif,2023-04-27,XAF,3920270
237-01-623794534,CUST-0001510,Commerçant,Compte commerçant,Actif,31/07/2023,XAF,621409
237-01-123114216,CUST-0004245,Courant,Compte courant,Actif,2017/11/18,XAF,3187504
237-01-460926146,CUST-0003611,Professionnel,Compte professionnel,Actif,2024-06-28,XAF,2123550
237-01-162016392,CUST-0000430,Commerçant,Compte commerçant,Actif,2017-11-29,FCFA,4565779
237-01-739078164,CUST-0002744,Association,Compte association,Actif,2019-09-11,FCFA,1638489
237-01-407148788,CUST-0001524,Professionnel,Compte professionnel,Actif,2018-10-11,FCFA,624547
237-01-710037774,CUST-0000279,Épargne,Épargne projet,Bloqué,02/01/2023,FCFA,348152
237-01-849645460,CUST-0004669,Épargne,Épargne jeune,Clôturé,2017-08-14,XAF,1507268
237-01-214414230,CUST-0001295,Épargne,Épargne jeune,Actif,2024-06-27,FCFA,812673
237-01-960471578,CUST-0002390,Association,Compte association,Actif,2023-02-04,XAF,609737
237-01-307074713,CUST-0000700,Courant,Compte salaire,Actif,2024-07-30,FCFA,1775642
237-01-307679180,CUST-0001057,Professionnel,Crédit commercial,Actif,2021/02/10,FCFA,4446768
237-01-504899450,CUST-0001116,Épargne,Épargne classique,Actif,2018-02-22,FCFA,2929435
237-01-300398618,CUST-0000694,Professionnel,Crédit scolaire,Dormant,2022-04-09,FCFA,3836383
237-01-995769055,CUST-0005221,Épargne,Épargne jeune,Actif,2020-11-02,FCFA,2656687
237-01-482976363,CUST-0001906,Professionnel,Compte professionnel,Actif,2021-06-03,FCFA,2929037
237-01-490769277,CUST-0003353,Épargne,Épargne projet,Actif,2024/11/22,XAF,315638
237-01-304298997,CUST-0004519,Commerçant,Compte commerçant,Actif,2025-09-27,FCFA,735697
237-01-848182801,CUST-0004742,Épargne,Épargne classique,Actif,2023-07-28,FCFA,854278
237-01-107019976,CUST-0004561,Épargne,Épargne classique,Actif,08/05/2021,XAF,4080387
237-01-864426439,CUST-0002074,Professionnel,Crédit commercial,Actif,2017-06-23,FCFA,3545581
237-01-741155477,CUST-0005025,Épargne,Épargne jeune,Actif,2017-07-17,FCFA,1133057
237-01-658885524,CUST-0000898,Commerçant,Compte commerçant,Actif,2026-03-29,FCFA,4071715
237-01-532260986,CUST-0001303,Épargne,Épargne projet,Actif,2018-12-24,FCFA,2737259
237-01-107401497,CUST-0005788,Courant,Compte courant,Actif,2022-10-20,FCFA,3086780
237-01-758750403,CUST-0001988,Épargne,Épargne jeune,Actif,2026-06-25,XAF,1200400
237-01-923206391,CUST-0000477,Professionnel,Compte professionnel,Actif,2023-06-01,XAF,1804598
237-01-137037714,CUST-0001902,Tontine,Compte tontine,Actif,2021-07-19,FCFA,2734588
237-01-668845624,CUST-0003684,Association,Compte association,Actif,2025-05-21,FCFA,3672783
237-01-481569098,CUST-0004109,Tontine,Compte tontine,Clôturé,2022-06-09,FCFA,3174776
237-01-792729461,CUST-0004255,Professionnel,Crédit scolaire,Actif,2017-02-03,XAF,3609682
237-01-167505984,CUST-0001217,Courant,Compte salaire,Actif,2022-08-20,XAF,3588412
237-01-492599555,CUST-0002865,Épargne,Épargne projet,Actif,2024-02-10,FCFA,3637779
237-01-979992317,CUST-0002296,Association,Compte association,Actif,14/10/2020,XAF,3051299
237-01-182834214,CUST-0003027,Professionnel,Compte professionnel,Actif,2017-08-10,XAF,944908
237-01-799259025,CUST-0003555,Tontine,Compte tontine,Actif,2017-12-22,XAF,4187480
237-01-896112651,CUST-0000146,Professionnel,Crédit scolaire,Actif,2024-11-26,FCFA,14535
237-01-735828142,CUST-0000401,Professionnel,Compte professionnel,Actif,2025-09-27,XAF,3299110
237-01-509584592,CUST-0005327,Épargne,Épargne classique,Actif,2023-09-11,XAF,4124332
237-01-763731325,CUST-0006037,Épargne,Épargne classique,Actif,2019/10/01,XAF,1076284
237-01-265704786,CUST-0006125,Commerçant,Compte commerçant,Actif,2022-03-29,XAF,4737568
237-01-633319831,CUST-0004643,Tontine,Compte tontine,Actif,2023-04-08,FCFA,2313765
237-01-732864861,CUST-0003050,Courant,Compte salaire,Actif,28/12/2025,FCFA,820541
237-01-617071779,CUST-0000677,Épargne,Épargne jeune,Actif,2022-10-13,FCFA,4206858
237-01-861974889,CUST-0005636,Épargne,Épargne jeune,Actif,2017-06-30,FCFA,1135137
237-01-210694262,CUST-0004324,Courant,Compte salaire,Actif,2017-05-29,FCFA,2320031
237-01-113294538,CUST-0004380,Épargne,Épargne jeune,Actif,2017-04-30,FCFA,195922
237-01-931569256,CUST-0000143,Tontine,Compte tontine,Actif,2020-04-21,XAF,4074879
237-01-892643397,CUST-0005713,Professionnel,Crédit scolaire,Actif,2018-03-10,FCFA,2455776
237-01-351748090,CUST-0001621,Professionnel,Compte professionnel,Actif,2023-01-04,FCFA,3631039
237-01-207457891,CUST-0004022,Association,Compte association,Actif,2018-10-27,FCFA,3097467
237-01-154078770,CUST-0005886,Épargne,Épargne jeune,Actif,2017/02/10,FCFA,4642165
237-01-297096901,CUST-0004503,Tontine,Compte tontine,Actif,2019/07/27,XAF,1555489
237-01-104831663,CUST-0003259,Épargne,Épargne projet,Actif,2025-07-29,FCFA,1223994
237-01-107391685,CUST-0003834,Courant,Compte salaire,Actif,2024/07/04,FCFA,2129742
237-01-644656558,CUST-0005665,Professionnel,Crédit commercial,Actif,2022-08-24,XAF,3470223
237-01-253060001,CUST-0001799,Professionnel,Crédit scolaire,Actif,2017-05-25,FCFA,1071543
237-01-446626581,CUST-0004781,Professionnel,Compte professionnel,Actif,2019-08-25,XAF,2332751
237-01-428816875,CUST-0001606,Tontine,Compte tontine,Clôturé,2026-03-01,FCFA,988632
237-01-867057280,CUST-0003940,Professionnel,Crédit scolaire,Actif,30/04/2026,FCFA,490334
237-01-865184014,CUST-0002265,Professionnel,Crédit scolaire,Bloqué,2019-06-07,XAF,3998865
237-01-879622067,CUST-0000444,Tontine,Compte tontine,Actif,2020-11-12,XAF,4691500
237-01-483393509,CUST-0004748,Professionnel,Crédit commercial,Actif,27/04/2018,FCFA,4177320
237-01-405789964,CUST-0003169,Tontine,Compte tontine,Actif,2019-05-06,XAF,1464253
237-01-394322124,CUST-0005626,Courant,Compte salaire,Actif,2020-08-11,XAF,4360702
237-01-890328052,CUST-0003510,Courant,Compte salaire,Actif,2026-02-21,XAF,4787447
237-01-246898575,CUST-0004367,Commerçant,Compte commerçant,Actif,2026/01/22,XAF,2477964
237-01-311152809,CUST-0002604,Épargne,Épargne jeune,Actif,2017-12-06,XAF,3769387
237-01-991455892,CUST-0001798,Épargne,Épargne classique,Actif,2026-05-11,FCFA,1538436
237-01-484167250,CUST-0005001,Épargne,Épargne jeune,Actif,2023-04-12,FCFA,2509055
237-01-159642378,CUST-0004414,Épargne,Épargne jeune,Actif,2024-05-08,FCFA,2931449
237-01-949321373,CUST-0002769,Professionnel,Crédit commercial,Clôturé,2020-07-21,XAF,3020468
237-01-761389096,CUST-0003833,Professionnel,Crédit scolaire,Actif,2019-10-03,XAF,1572462
237-01-301372007,CUST-0005486,Courant,Compte courant,Actif,2022-02-14,FCFA,2766728
237-01-362721763,CUST-0000236,Épargne,Épargne classique,Actif,2017-09-23,FCFA,3482485
237-01-394485704,CUST-0000765,Commerçant,Compte commerçant,Actif,2023-02-26,FCFA,254159
237-01-773774314,CUST-0002148,Professionnel,Crédit scolaire,Actif,2018-06-02,XAF,3464339
237-01-530680463,CUST-0005350,Épargne,Épargne classique,Actif,2022-12-09,XAF,2521889
237-01-327067500,CUST-0001148,Épargne,Épargne jeune,Actif,2022-07-26,FCFA,1614130
237-01-251954830,CUST-0004309,Association,Compte association,Actif,21/08/2022,XAF,1520153
237-01-257363781,CUST-0005897,Épargne,Épargne projet,Actif,2021-07-14,FCFA,4481336
237-01-536712287,CUST-0005421,Association,Compte association,Actif,2017-04-14,FCFA,1250834
237-01-108233849,CUST-0005323,Professionnel,Crédit commercial,Actif,2021-11-08,XAF,1262953
237-01-924916165,CUST-0002870,Professionnel,Compte professionnel,Actif,18/08/2019,FCFA,2201001
237-01-406381406,CUST-0004675,Association,Compte association,Actif,2017-04-24,FCFA,1801552
237-01-550474533,CUST-0006100,Épargne,Épargne projet,Actif,2024-07-21,XAF,266205
237-01-173156420,CUST-0000522,Épargne,Épargne jeune,Actif,2020-09-27,XAF,2589466
237-01-709354158,CUST-0002940,Association,Compte association,Bloqué,2017/08/08,XAF,860833
237-01-569538270,CUST-0000770,Épargne,Épargne classique,Bloqué,2020-05-14,XAF,4988506
237-01-448984727,CUST-0003950,Tontine,Compte tontine,Actif,2019-05-14,FCFA,2524889
237-01-404553346,CUST-0000229,Épargne,Épargne classique,Actif,2024-07-30,FCFA,841550
237-01-173278920,CUST-0005049,Courant,Compte salaire,Dormant,2018-06-21,XAF,1742501
237-01-661684417,CUST-0001926,Professionnel,Crédit commercial,Actif,2025-09-14,FCFA,3494677
237-01-543411986,CUST-0003480,Professionnel,Compte professionnel,Actif,2019-10-12,XAF,42211
237-01-556685345,CUST-0001421,Épargne,Épargne projet,Actif,2024-04-10,XAF,4707321
237-01-869291554,CUST-0001175,Courant,Compte salaire,Actif,2024-01-07,XAF,1776771
237-01-252559917,CUST-0005802,Professionnel,Crédit scolaire,Actif,2025/01/27,FCFA,3399597
237-01-735690375,CUST-0003720,Tontine,Compte tontine,Actif,2021-08-10,XAF,3597588
237-01-255390004,CUST-0001903,Courant,Compte salaire,Actif,24/01/2025,XAF,2898167
237-01-180568898,CUST-0006077,Professionnel,Crédit commercial,Actif,2021/12/13,FCFA,688288
237-01-704354307,CUST-0003710,Commerçant,Compte commerçant,Actif,2018-06-23,XAF,2105802
237-01-472581625,CUST-0002123,Épargne,Épargne projet,Bloqué,2017-05-15,FCFA,2387636
237-01-868784634,CUST-0001616,Épargne,Épargne jeune,Clôturé,2022-08-24,XAF,4818774
237-01-298190697,CUST-0003615,Association,Compte association,Actif,2020-04-17,FCFA,111844
237-01-884033091,CUST-0000861,Commerçant,Compte commerçant,Actif,2022-06-05,FCFA,3705520
237-01-632980074,CUST-0000019,Épargne,Épargne classique,Actif,17/01/2020,XAF,991427
237-01-678537575,CUST-0000815,Épargne,Épargne classique,Actif,20/05/2021,XAF,3960938
237-01-422930759,CUST-0003810,Épargne,Épargne projet,Actif,2020/01/05,XAF,1267501
237-01-666095335,CUST-0001520,Professionnel,Crédit commercial,Actif,2023/07/10,XAF,3125197
237-01-590946862,CUST-0003154,Courant,Compte salaire,Actif,24/12/2024,XAF,4026915
